title,author,lent_by,lent_since,lent_times,year,catalogued,location,excerpt
Hilarious Parable of the Patrician,Lead Alchemist Ryan Cook,Michael Mcdonald,year -237 in the 3rd month,1,The 6th year after Sentient Luggage,year 0566 in the 2nd month,Dungeon Dimensions: middle shelve. 5m from the end,Day various finish clear.
Frightening Adventure in Ankh-Morpork,Janet Foley,Michael Tran,year 0474 in the 8th month,8,The 12th year after Topsy-Turvy Times,year 0579 in the 6th month,Great Hall: middle shelve. 1m from the start,Rock approach possible just.
Unimaginable Anecdote of the Librarian,Supreme Archchancellor Dana Thomas,Robert Boyd,year 0191 in the 3rd month,3,The 9th year after Crystal Goblins,year 0255 in the 7th month,Tower of Art: bottom shelve. 13m from the start,Million ball write.
Illustrious Adventure of the Agatean Empire,Taylor Davis,Christopher Irwin,year -134 in the 7th month,42,The 1st year after Sentient Luggage,year -069 in the 8th month,Tower of Art: middle shelve. 13m from the end,During real writer pressure place.
Improbable Furlough of the Librarian,Imperial Assassin Leah Baker,,,5,The year of Amazing Maurice,unknown,Restricted Section: top shelve. 3m from the end,Morning work laugh art expert from kid.
Frightening Parable of the Dungeon Dimensions,Imperial Assassin Michael Lane,,,0,The 1st year after Librarian's Wrath,year 0420 in the 3rd month,Great Hall: bottom shelve. 5m from the start,Little turn defense.
Astounding Expedition of the Counterweight Continent,Mastermagician Erica House,Mr. Jose Pham DVM,unknown,2,The 9th year after Lancre Coven,year 0868 in the 10th month,Restricted Section: top shelve. 4m from the end,Only act other.
Majestic Allegory of the City Watch,Grandmaster of Guilds Mrs. Heather Webb,Kristen Graham,year 0299 in the 9th month,4,The 13th year after Seamstress's Secrets,year 0308 in the 7th month,Tower of Art: middle shelve. 15m from the start,Concern run war worker.
Incredible Adventure in Ankh-Morpork,High Wizard of Unseen Julie Larsen,James Scott,year -065 in the 11th month,7,The 2nd year after Imp-powered Devices,year -064 in the 10th month,Mended Drum: top shelve. 8m from the start,Alone media admit man book.
Bizarre Odyssey of the Dungeon Dimensions,Principal Witch Nathaniel Paul,Sarah Garcia,year 0517 in the 2nd month,7,The 5th year after Topsy-Turvy Times,year 0699 in the 10th month,Great Hall: top shelve. 14m from the end,Deal without easy.
Bizarre Parable of the Agatean Empire,Lead Alchemist Tara Riley,Donald Stephens,year -438 in the 7th month,9,The 2nd year after Luggage,year -415 in the 12th month,Great Hall: bottom shelve. 11m from the end,Write factor material understand here change system.
Wondrous Tale of the Clacks,High Wizard of Unseen Juan Davis,Taylor Gallagher,year -179 in the 8th month,0,The 9th year after Golem Uprising,year -078 in the 7th month,Great Hall: bottom shelve. 11m from the start,Set necessary off director.
Hilarious Romance of the Clacks,Chief Scrivener David Gross,Toni Kennedy,year 0491 in the 1st month,7,The year of Knurd,unknown,Mended Drum: middle shelve. 5m from the start,Tree enjoy himself impact after.
Glorious Fable of the Unseen University,Foremost Patrician Christine Baird,Kathleen Johns,year -165 in the 7th month,3,The 8th year after Silver Horde,year 0302 in the 5th month,Restricted Section: middle shelve. 7m from the start,Strategy drop attention reason while.
Bewitching Narrative of the Rincewind,Professor Brian Wilkins,Cheryl Friedman,unknown,9,The 9th year after Guild Wars,unknown,Mended Drum: bottom shelve. 7m from the start,Get not second affect heavy watch.
Enigmatic Revelation of the Golems,Senior Guildmaster Susan Smith,,,4,The 11th year after Seamstress's Secrets,year 0582 in the 8th month,Great Hall: middle shelve. 3m from the start,Sell chair great sometimes within continue.
Incredible Recital of the City Watch,Senior Guildmaster Zachary Hinton,Karen Martinez,year -355 in the 7th month,9,The year of Crystal Goblins,year 0777 in the 7th month,Dungeon Dimensions: bottom shelve. 12m from the end,Term discuss save serious indicate eat decision.
Mysterious Tale of the Lancre,Imperial Assassin Kelly Hayes,,,8,The 13th year after Guild Wars,year -300 in the 12th month,Mended Drum: middle shelve. 14m from the start,Power expect church total respond fill nor.
Unbelievable Fable of the Clacks,James Williams,Caleb White,year -299 in the 1st month,1,The 5th year after Squid,year 0511 in the 10th month,Dungeon Dimensions: bottom shelve. 6m from the end,Sort look order build staff claim leg.
Incredible Folklore of the Hogfather,Chief Scrivener Megan Mclaughlin,,,3,The 2nd year after Fruitbat,year 0474 in the 6th month,Tower of Art: top shelve. 14m from the start,Type return exactly deep shoulder soon degree.
Wondrous Quest of Magic,Lead Alchemist Melissa Evans,Audrey Banks,year -150 in the 7th month,6,The 12th year after Squid,year 0356 in the 12th month,Restricted Section: middle shelve. 9m from the start,Show standard wife last very.
Ridiculous Exploit of the Disc,Professor Brittany Robertson,,,0,The 10th year after Octarine Sunset,unknown,Great Hall: bottom shelve. 14m from the start,Recent size child.
Glorious Narrative of the Trolls,Imperial Assassin David Hicks Jr.,Jeffrey Juarez,year -410 in the 9th month,2,The 3rd year after Octarine Sunset,year 0097 in the 7th month,Tower of Art: bottom shelve. 9m from the end,Week prepare do born suffer see crime.
Bewitching Quest of the Disc,Principal Witch Susan Harding,Melissa Richardson,year -270 in the 7th month,6,The 10th year after Seamstress's Secrets,year -124 in the 10th month,Great Hall: middle shelve. 13m from the end,Number notice activity against team speak forget.
Comical Conundrum of the Rincewind,Imperial Assassin Brian Jones,Karen Roach,year 0005 in the 6th month,1,The 5th year after Invisible College,year 0930 in the 9th month,Restricted Section: top shelve. 10m from the start,Strong concern above.
Glorious Allegory of the Disc,Senior Guildmaster Bryan Salas,,,3,The 8th year after Topsy-Turvy Times,year 0865 in the 7th month,Great Hall: top shelve. 14m from the end,White rate responsibility around visit window.
Phantasmal Recital of the Counterweight Continent,Chief Scrivener Gregory Collins,,,42,The 6th year after Squid,year -394 in the 3rd month,Mended Drum: middle shelve. 4m from the start,Today account loss music these radio sister.
Unbelievable Myth of Magic,Chief Scrivener Kenneth Harmon,,,4,The 8th year after Klatchian Coffee,year 0102 in the 4th month,Mended Drum: top shelve. 12m from the end,Country share wear animal write glass.
Incredible Tale of the Disc,Mastermagician Tracy Smith,,,42,The 8th year after Invisible College,year 0038 in the 7th month,Restricted Section: top shelve. 7m from the start,Several agency green rich pay performance everybody.
Unimaginable Chronicle of the Rincewind,Cole Gibson,Brian Colon,year -152 in the 5th month,6,The 1st year after Knurd,year 0564 in the 7th month,Restricted Section: middle shelve. 1m from the start,Suddenly hot our school sell Mr difficult.
Mysterious Adventure of the Death,Professor Richard Brown,Rachel Jackson,year -413 in the 9th month,9,The 4th year after Knurd,year 0805 in the 4th month,Restricted Section: middle shelve. 9m from the end,Benefit her interview view pattern.
Bewitching Chronicle of the Counterweight Continent,Eminent Thief Heather Bean,,,42,The 13th year after Patrician's Eyebrow,year -045 in the 7th month,Tower of Art: middle shelve. 10m from the start,Study event you big recognize dog still.
Comical Narrative of the Death,Foremost Patrician Kyle Diaz,,,6,The 3rd year after Howondaland Expedition,year -396 in the 2nd month,Tower of Art: middle shelve. 1m from the end,Phone sure commercial community owner knowledge.
Peculiar Expedition of the Clacks,Chief Scrivener Adrian West,,,2,The year of Opera House Ghost,year -108 in the 7th month,Restricted Section: middle shelve. 12m from the start,Themselves policy fill.
Fantastical Fable of the Patrician,High Wizard of Unseen Mark Griffith,Julie Wagner,year -185 in the 7th month,6,The 8th year after Squid,year 0250 in the 9th month,Mended Drum: top shelve. 8m from the start,Decision market determine do.
Eccentric Journey of the Patrician,Professor Shawn Cain,Brooke Wilson,year -489 in the 2nd month,6,The 3rd year after Bursar's Sanity,year -487 in the 9th month,Dungeon Dimensions: bottom shelve. 8m from the end,President call concern.
Phantasmal Anecdote of the Lancre,Principal Witch Anthony Hernandez,Dominique Watson,year -391 in the 8th month,42,The 3rd year after Librarian's Wrath,year 0151 in the 9th month,Tower of Art: middle shelve. 9m from the end,Fine she measure different.
Incredible Adventure of the Hogfather,Eminent Thief Jenna Herrera,Jillian Hall,year 0809 in the 8th month,0,The 6th year after Sentient Luggage,year 0898 in the 6th month,Restricted Section: middle shelve. 14m from the start,Let away growth material.
Dreadful Episode in Ankh-Morpork,Eminent Thief April White,,,9,The 3rd year after Squid,year 0153 in the 7th month,Great Hall: bottom shelve. 1m from the end,Question analysis near several serious true.
Curious Parable of the Patrician,High Wizard of Unseen Ashley Sharp,,,3,The 8th year after Luggage,year 0407 in the 11th month,Great Hall: top shelve. 13m from the end,Light history possible investment decide reveal memory.
Fanciful Folklore of the Nac Mac Feegle,Chief Scrivener Crystal Hernandez,,,7,The year of Wizzard's Hat,year 0573 in the 6th month,Dungeon Dimensions: bottom shelve. 1m from the end,Rest seem energy over often particularly whose.
Fantastical Saga of the Patrician,Mastermagician Ashley Sanchez,,,6,The 13th year after Octarine Sunset,year 0527 in the 9th month,Great Hall: bottom shelve. 14m from the end,Fly industry radio side society appear position.
Puzzling Lore of the Patrician,Grandmaster of Guilds Morgan Davis,,,6,The 3rd year after Cabbage,year 0679 in the 12th month,Restricted Section: top shelve. 8m from the end,Power when least eight.
Fantastical Narrative of the Witches,Imperial Assassin Shannon Lopez,,,0,The 1st year after Squid,year -291 in the 7th month,Restricted Section: top shelve. 3m from the start,Author operation plant option daughter four beautiful.
Fanciful Adventure of the Disc,Eminent Thief Lisa Schultz,,,8,The 8th year after Howondaland Expedition,year 0718 in the 1st month,Restricted Section: top shelve. 7m from the start,Company picture people this action decade she floor.
Fanciful Anecdote of the Librarian,Jason Silva,Kristin Bryant,year 0061 in the 9th month,3,The 4th year after Knurd,year 0630 in the 5th month,Restricted Section: middle shelve. 4m from the start,Mouth card now say.
Fantastical Fantasy of the Patrician,James Alexander,,,0,The 8th year after Klatchian Coffee,year -236 in the 10th month,Restricted Section: top shelve. 12m from the start,How down several themselves recent significant.
Perilous Journey in Ankh-Morpork,Shannon Esparza,,,42,The year of Patrician's Eyebrow,year -165 in the 3rd month,Great Hall: middle shelve. 11m from the end,Reason market TV week.
Phantasmal Mystery of the Golems,Grandmaster of Guilds Virginia Evans,Jessica Raymond,year -331 in the 7th month,42,The 6th year after Assassin's Guild,year 0468 in the 9th month,Great Hall: bottom shelve. 12m from the end,These arm power mother enter expert.
Fantastical Epic of the Rincewind,Senior Guildmaster Tommy Bauer,Christopher Fitzgerald,year 0065 in the 7th month,0,The 2nd year after Topsy-Turvy Times,year 0471 in the 9th month,Mended Drum: top shelve. 9m from the start,Film either boy politics.
Hilarious Adventure of the Unseen University,Imperial Assassin Krystal Melton,Jared Howard,year 0156 in the 9th month,6,The 6th year after Mended Drum,year 0874 in the 7th month,Restricted Section: bottom shelve. 13m from the end,Mrs particularly shoulder poor account.
Unbelievable Mystery of the Agatean Empire,High Wizard of Unseen Jordan Molina,Catherine Lawson,year -434 in the 9th month,2,The 1st year after Amazing Maurice,year -354 in the 5th month,Mended Drum: bottom shelve. 5m from the start,National myself minute about.
Bewitching Folklore of the Golems,Amanda Steele,,,7,The 9th year after Octarine Sunset,year 0293 in the 4th month,Dungeon Dimensions: top shelve. 5m from the end,East letter join sign not.
Amazing Folklore in Ankh-Morpork,Lead Alchemist Jose Henderson,,,4,The 2nd year after Silver Horde,year 0928 in the 1st month,Tower of Art: middle shelve. 2m from the end,Sport under glass the.
Unbelievable Journey in Ankh-Morpork,Eminent Thief Rodney Williams,,,2,The year of Talking Dog,year 0146 in the 7th month,Restricted Section: top shelve. 2m from the start,Political they main season financial money.
Unbelievable Chronicle of the Agatean Empire,Lead Alchemist Kayla Garrison,Mrs. Alicia Cummings,year 0398 in the 5th month,3,The 7th year after Wizzard's Hat,year 0752 in the 9th month,Tower of Art: bottom shelve. 3m from the start,Trial attorney point medical add blue know.
Perilous Odyssey of the Golems,Ann Haynes,Sarah Alexander,year -151 in the 6th month,9,The 11th year after Golem Uprising,unknown,Restricted Section: bottom shelve. 9m from the start,Wear start much media break push.
Phantasmal Episode of the Disc,Supreme Archchancellor David Thompson,,,6,The 2nd year after Seamstress's Guild,year -163 in the 2nd month,Restricted Section: top shelve. 11m from the end,Build president dream story.
Eccentric Fantasy of the Hogfather,Senior Guildmaster Richard Lynch,,,6,The 4th year after Seamstress's Secrets,year 0841 in the 7th month,Dungeon Dimensions: bottom shelve. 12m from the start,Improve design hundred such coach public.
